Duration Used (days),Total Usage (minutes),Reason for Quitting,Cost Offered (rupees),Accepted Offer
141,3186,Expensive,600,TRUE
154,9717,Not Useful,800,TRUE
306,17820,Not Useful,500,TRUE
338,28135,Expensive,500,TRUE
57,5448,Expensive,800,TRUE
144,5633,Expensive,800,FALSE
80,5498,Not Useful,800,FALSE
128,11665,Not Useful,600,TRUE
177,5316,Unhappy,800,TRUE
260,21373,Expensive,800,TRUE
69,1827,Not Useful,500,TRUE
137,11372,Not Useful,500,TRUE
77,7004,Not Useful,600,TRUE
195,8003,Expensive,500,TRUE
241,19577,Expensive,900,FALSE
29,853,Expensive,600,TRUE
88,6428,Not Useful,500,TRUE
56,2978,Unhappy,900,TRUE
240,10081,Expensive,700,TRUE
13,592,Others,500,TRUE
6,325,Unhappy,500,TRUE
259,18087,Unhappy,800,TRUE
218,8719,Unhappy,600,TRUE
348,34368,Not Useful,600,TRUE
80,3286,Expensive,800,TRUE
142,6018,Not Useful,700,TRUE
46,4381,Others,600,TRUE
339,11092,Others,900,FALSE
228,7110,Unhappy,600,TRUE
295,12116,Expensive,700,TRUE
206,5747,Unhappy,900,TRUE
315,6461,Unhappy,500,TRUE
314,6945,Unhappy,900,TRUE
110,2286,Expensive,500,FALSE
363,25040,Not Useful,500,TRUE
199,4686,Expensive,600,TRUE
54,4024,Not Useful,800,FALSE
245,14425,Expensive,800,FALSE
116,3344,Unhappy,900,FALSE
224,9582,Expensive,800,TRUE
129,6134,Expensive,800,FALSE
307,13632,Expensive,900,TRUE
268,19753,Unhappy,700,FALSE
88,5307,Expensive,700,FALSE
204,6954,Expensive,600,TRUE
162,9862,Unhappy,700,FALSE
287,13273,Expensive,500,TRUE
89,5495,Unhappy,900,FALSE
185,11697,Unhappy,900,FALSE
72,5176,Expensive,500,TRUE
39,2268,Expensive,800,TRUE
50,3909,Not Useful,800,FALSE
135,6669,Not Useful,500,FALSE
25,535,Unhappy,800,FALSE
189,12016,Unhappy,600,TRUE
256,13460,Unhappy,600,FALSE
197,17221,Unhappy,500,TRUE
195,6494,Unhappy,700,TRUE
40,2382,Unhappy,700,FALSE
297,11540,Unhappy,700,TRUE
139,4074,Expensive,500,TRUE
105,6778,Expensive,900,FALSE
83,3330,Expensive,600,TRUE
341,9080,Unhappy,800,FALSE
341,7727,Not Useful,900,TRUE
14,1153,Expensive,600,TRUE
351,18485,Expensive,700,TRUE
326,23352,Expensive,600,TRUE
176,11920,Unhappy,900,FALSE
217,10246,Not Useful,700,FALSE
7,567,Others,700,TRUE
47,4142,Expensive,800,TRUE
106,2719,Others,500,TRUE
20,1067,Not Useful,500,TRUE
265,26091,Not Useful,700,TRUE
310,7505,Unhappy,500,FALSE
53,3302,Unhappy,600,TRUE
227,13748,Expensive,900,FALSE
155,7907,Expensive,800,TRUE
110,6345,Unhappy,600,TRUE
331,8932,Unhappy,700,TRUE
152,10890,Unhappy,900,TRUE
342,20795,Expensive,900,FALSE
190,8503,Unhappy,500,TRUE
350,8527,Expensive,700,TRUE
155,13374,Unhappy,700,TRUE
310,18856,Others,600,TRUE
317,13351,Unhappy,700,FALSE
148,9720,Others,500,TRUE
10,385,Expensive,700,TRUE
361,29372,Expensive,700,TRUE
201,9077,Unhappy,800,TRUE
213,17088,Unhappy,600,TRUE
333,26282,Unhappy,700,FALSE
192,12192,Expensive,800,TRUE
255,24289,Unhappy,800,TRUE
275,25679,Not Useful,900,TRUE
37,3500,Unhappy,800,TRUE
234,15320,Expensive,700,FALSE
135,12654,Unhappy,500,TRUE
134,13274,Unhappy,900,TRUE
229,5687,Expensive,700,TRUE
148,12433,Expensive,800,TRUE
35,2313,Expensive,600,TRUE
233,14483,Expensive,600,TRUE
225,13057,Others,600,TRUE
